spur_treatment,pollination
shortened,pollen
shortened,pollen
shortened,pollen
shortened,pollen
shortened,pollen
shortened,pollen
shortened,pollen
shortened,pollen
shortened,pollen
shortened,pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
shortened,no pollen
control,pollen
control,pollen
control,pollen
control,pollen
control,pollen
control,pollen
control,pollen
control,pollen
control,pollen
control,pollen
control,pollen
control,pollen
control,pollen
control,pollen
control,pollen
control,pollen
control,pollen
control,pollen
control,pollen
control,pollen
control,pollen
control,pollen
control,pollen
control,pollen
control,pollen
control,pollen
control,pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
control,no pollen
