zone,herbivores,sqrtArea
low,absent,9.405572816
low,absent,34.46773564
low,absent,46.67348498
low,absent,16.64213929
low,absent,24.37749782
low,absent,38.35060365
low,absent,33.77722309
low,absent,61.0959966
low,absent,35.45617013
low,absent,46.17440417
low,absent,35.41183983
low,absent,25.0449436
low,absent,0.7071067809999999
low,absent,41.09878344
low,absent,36.15806411
low,absent,41.79047978
low,present,11.97676083
low,present,14.47122662
low,present,0.7071067809999999
low,present,8.007334138
low,present,0.7071067809999999
low,present,0.7071067809999999
low,present,27.63890012
low,present,42.98558828
low,present,3.150365058
low,present,8.343572376000001
low,present,0.7071067809999999
low,present,4.12230518
low,present,0.7071067809999999
low,present,35.97295929
low,present,3.504425773
low,present,2.7511088669999997
mid,absent,0.7071067809999999
mid,absent,24.95068737
mid,absent,46.56397749
mid,absent,0.7071067809999999
mid,absent,5.139863811000001
mid,absent,6.180550137000001
mid,absent,46.95031842
mid,absent,22.89894757
mid,absent,19.42915335
mid,absent,37.13323309
mid,absent,14.19726734
mid,absent,3.150365058
mid,absent,21.61082136
mid,absent,16.64213929
mid,absent,45.54070707
mid,absent,47.93532101
mid,present,0.7071067809999999
mid,present,32.20602428
mid,present,35.07757688
mid,present,17.53828384
mid,present,6.24376489
mid,present,13.04401779
mid,present,25.63385262
mid,present,36.50395047
mid,present,37.52248393
mid,present,45.78151592
mid,present,20.02633266
mid,present,9.972983505
mid,present,2.7511088669999997
mid,present,40.13190751
mid,present,40.81112593
mid,present,44.86306722
