caste,mass,energy
worker,47.0,40.0
worker,54.0,40.0
worker,61.0,40.0
worker,65.0,39.0
worker,70.0,48.0
worker,71.0,47.0
worker,77.0,51.0
worker,89.0,40.0
worker,91.0,52.0
worker,52.0,61.0
worker,54.0,66.0
worker,64.0,63.0
worker,69.0,71.0
worker,72.0,70.0
worker,70.0,91.0
worker,87.0,81.0
worker,93.0,68.0
worker,91.0,89.0
worker,125.0,104.0
worker,116.0,151.0
worker,131.0,155.0
lazy,80.0,46.0
lazy,94.0,63.0
lazy,136.0,35.0
lazy,110.0,58.0
lazy,110.0,60.0
lazy,117.0,74.0
lazy,129.0,60.0
lazy,157.0,83.0
lazy,193.0,69.0
lazy,172.0,90.0
lazy,162.0,97.0
lazy,148.0,93.0
lazy,131.0,101.0
lazy,123.0,89.0
